S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,RSI,macd_vs_signal,50_vs_20ema,20sma_vs_price,50sma_vs_price,200sma_vs_price,ltp,bollinger_price
141,2022-02-03,188,LICN,Life Insurance Co. Nepal,2400,2400,2326,2377,20975,49201626.4,2356,2800,1700,2022-02-03T14:59:50.165387,2377,210,2345.72,52555.47,61.70361481,UP,Down,Down,Down,Down,2377,above_upper_band
142,2022-02-03,219,UNL,Unilever Nepal Limited,19100,19100,19002,19002,20,381020,19050,23180,18050,2022-02-03T13:41:17.379256,19002,2,19051,17495.14,89.99931845,UP,Down,Down,Down,Down,19002,above_upper_band
143,2022-02-03,232,GFCL,Goodwill Finance Co. Ltd.,728.9,728.9,700,701,26675,19059139.6,720.5,1010,239,2022-02-03T14:59:43.909223,701,208,714.49,6632.27,46.17943142,UP,Down,UP,UP,Down,701,between_bands
144,2022-02-03,238,NMB,NMB Bank Limited,353,354,345,347,55570,19362552.5,347.5,517,326,2022-02-03T14:59:59.370761,347,406,348.43,63732.47,45.67753978,UP,Down,UP,UP,Down,347,between_bands
145,2022-02-03,341,GBIME,Global IME Bank Limited,370,370,361.1,363,102527,37493150.8,366,522,275,2022-02-03T14:59:48.243815,363,718,365.69,86378.59,45.70865375,UP,Down,UP,UP,Down,363,between_bands
146,2022-02-03,385,ALICL,Asian Life Insurance Co. Limited,1026,1031,1000,1002,21071,21462245.8,1025,1565,978,2022-02-03T14:59:46.395798,1002,288,1018.56,25184.79,47.11987851,Down,Down,UP,UP,Down,1002,between_bands
147,2022-02-03,502,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,1301,1326,1226.5,1241,2995,3758011.5,1276,1938,1100,2022-02-03T14:57:57.306529,1241,53,1254.76,6130.54,47.71294527,Down,Down,UP,UP,Down,1241,between_bands
148,2022-02-03,532,CBL,Civil Bank Ltd,264,264,259.1,259.6,99853,26136137.7,261.2,316,214,2022-02-03T14:59:50.327968,259.6,370,261.74,23560.89,45.28010546,Down,Down,UP,UP,Down,259.6,between_bands
149,2022-02-03,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1776,1776,1740.5,1765,4184,7342765.7,1741.5,3191,1390,2022-02-03T14:58:48.777411,1765,75,1754.96,9753.2,49.85573839,Down,Down,Down,UP,Down,1765,between_bands
150,2022-02-03,2743,NGPL,Ngadi Group Power Ltd.,740,753.5,720,725,129155,95145141.5,728,1397,217,2022-02-03T14:59:59.293375,725,675,736.67,5125.26,46.70781813,Down,Down,UP,UP,Down,725,between_bands
151,2022-02-03,2769,NHDL,Nepal Hydro Developers Ltd.,532.4,552.8,530,532,93142,50543950,522,840,244,2022-02-03T14:59:52.918288,532,612,542.65,1702.03,46.07791731,Down,Down,UP,UP,Down,532,between_bands
152,2022-02-03,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1340,1400,1340,1391,4642,6444261,1350,1785,951.6,2022-02-03T14:59:47.838378,1391,77,1388.25,1836.12,49.60679963,Down,Down,UP,UP,Down,1391,between_bands
153,2022-02-03,2863,NICBF,NIC Asia Balanced Fund,11.5,11.65,11.31,11.58,14600,167658,11.5,17,9.92,2022-02-03T14:59:24.711746,11.58,16,11.48,874.29,44.1888678,Down,Down,UP,UP,Down,11.58,between_bands
154,2022-02-03,2898,NRN,NRN Infrastructure and Development Limited,785,812,770,790,101519,81165919.7,782,990,368,2022-02-03T14:59:50.774447,790,813,799.51,9663.37,47.93274235,Down,Down,UP,UP,Down,790,between_bands
155,2022-02-03,2914,UMRH,United IDI Mardi RB Hydropower Limited.,655,673,649,660,44861,29620837.1,645,811,220,2022-02-03T14:59:48.987232,660,334,660.28,2772,47.31434244,Down,Down,UP,UP,Down,660,between_bands
156,2022-02-03,2929,JLI,Jyoti Life Insurance Ltd,735,735,720,722,39578,28660754.8,726,998,360,2022-02-03T14:59:59.962984,722,1183,724.15,15884,47.68984961,Down,Down,UP,UP,Down,722,between_bands
157,2022-02-03,4967,NICSF,NIC Asia Select Fund 30,9.11,9.25,9.07,9.07,81275,742373.9,9.25,10.1,8.75,2022-02-03T14:57:47.612449,9.07,77,9.13,1133.75,43.52791119,Down,Down,UP,UP,Down,9.07,between_bands
158,2022-02-03,8018,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,1535,1561,1520,1520,2875,4417967,1560,2189.1,397.5,2022-02-03T14:59:47.475184,1520,129,1536.68,1662.5,53.55078609,Down,Down,UP,Down,Down,1520,between_bands
159,2022-02-03,156,BBC,Bishal Bazar Company Limited,5200,5285,5130,5130,513,2680110,5180,8208,2880,2022-02-03T14:58:54.667420,5130,27,5224.38,2520.88,68.92467609,UP,Down,Down,Down,Down,5130,between_bands
160,2022-02-03,164,CBBL,Chhimek Laghubitta Bikas Bank Limited,1380,1400,1360,1360,17156,23518694.8,1360,2065.2,1240,2022-02-03T14:59:56.868417,1360,286,1370.87,31607.76,49.11749902,UP,Down,UP,UP,Down,1360,between_bands
161,2022-02-03,244,SIFC,Shree Investment Finance Co. Ltd.,499.6,508,476,478,34430,16760325.5,490,741,211,2022-02-03T14:59:53.778267,478,203,486.79,4582.47,45.54507275,UP,Down,UP,UP,Down,478,between_bands
162,2022-02-03,396,NLBBL,Nerude Laghubita Bikas Bank Limited,1244,1290,1242,1242,14704,18522525,1220,1885,901.8,2022-02-03T14:59:56.816797,1242,180,1259.69,7452,49.27356252,UP,Down,Down,UP,Down,1242,between_bands
163,2022-02-03,693,CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,1113,1140,1106,1120,5054,5683039.5,1106,1811,867,2022-02-03T14:59:59.964499,1120,76,1124.46,3226.99,48.65295327,UP,Down,Down,UP,Down,1120,between_bands
164,2022-02-03,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,800,800,777,778,12800,10064971.4,785,1194.4,584,2022-02-03T14:59:48.187027,778,157,786.32,6264.11,46.7281092,Down,Down,UP,UP,Down,778,between_bands
165,2022-02-03,2759,SPDL,Synergy Power Development Ltd.,513,525.3,509,520,330339,171484344,503.1,823.9,245,2022-02-03T14:59:55.352549,520,1301,519.11,4194.19,45.15579189,Down,Down,UP,UP,Down,520,between_bands
166,2022-02-03,2877,SFMF,Sunrise First Mutual Fund,12.3,12.3,12.12,12.15,67515,820121.1,12.45,20,10.21,2022-02-03T14:56:17.459447,12.15,19,12.14,1044.9,41.91678069,Down,Down,UP,UP,Down,12.15,between_bands
167,2022-02-03,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,1245,1250,1221,1228,9833,12164390.8,1240,2037,759,2022-02-03T14:59:40.265626,1228,365,1237.09,21360.32,51.61144866,Down,Down,Down,UP,Down,1228,between_bands
168,2022-02-03,2903,LEC,Liberty Energy Company Limited,432,443,425,426.4,94701,41059545,424.1,530,227,2022-02-03T14:59:58.546511,426.4,565,433.57,6396,45.73930921,Down,Down,UP,UP,Down,426.4,between_bands
169,2022-02-03,2905,GIC,General Insurance Company Nepal Ltd,664,678.7,664,665.3,9504,6355879.5,673.8,860,485.1,2022-02-03T14:58:58.658391,665.3,267,668.75,6653,47.80417262,Down,Down,UP,UP,Down,665.3,between_bands
170,2022-02-03,2913,MEN,Mountain Energy Nepal Limited,1251,1255,1230,1235,6386,7951585,1251,1530,600,2022-02-03T14:59:20.570391,1235,168,1245.15,24305.13,52.80122182,Down,Down,Down,UP,Down,1235,between_bands
172,2022-02-03,2924,GLH,GreenLife Hydropower Limited,498,524,498,510.5,54463,28112732.1,501,657,299,2022-02-03T14:59:56.327688,510.5,831,516.18,9189,46.23404525,Down,Down,UP,UP,Down,510.5,between_bands
173,2022-02-03,2933,KEF,Kumari Equity Fund,9.12,9.3,9.12,9.25,19140,176674.2,9.25,11.65,8.67,2022-02-03T14:55:43.812222,9.25,60,9.23,925,42.01599138,Down,Down,UP,UP,Down,9.25,between_bands
174,2022-02-03,4949,NIBSF2,NIBL Samriddhi Fund -2,9.37,9.42,9.19,9.42,23860,222171.2,9.37,11.53,8.56,2022-02-03T14:47:20.384093,9.42,35,9.31,1413,42.01808446,Down,Down,UP,UP,Down,9.42,between_bands
175,2022-02-03,4956,ULI,Union Life Insurance Company Limited,715,734,713,720,108631,78811902.5,712,940.1,342,2022-02-03T14:59:53.444519,720,2451,725.5,15480,50.69690837,Down,Down,UP,UP,Down,720,between_bands
176,2022-02-03,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,1285,1310,1260,1270,29445,38201778.5,1279,1919,1166,2022-02-03T14:59:16.346713,1270,331,1297.39,27876.82,56.56747351,UP,Down,Down,Down,Down,1270,between_bands
177,2022-02-03,171,SANIMA,Sanima Bank Limited,376,376.3,368,369,66693,24779701.5,369,564.9,319,2022-02-03T14:59:44.932272,369,501,371.54,41798.02,46.08086074,UP,Down,UP,UP,Down,369,between_bands
